date,time,age,confirmed,deceaed
3/2/2020,0,0,32,0
3/2/2020,0,10,169,0
3/2/2020,0,20,1235,0
3/2/2020,0,30,506,1
3/2/2020,0,40,633,1
3/2/2020,0,50,834,5
3/2/2020,0,60,530,6
3/2/2020,0,70,192,6
3/2/2020,0,80,81,3
3/3/2020,0,0,34,0
3/3/2020,0,10,204,0
3/3/2020,0,20,1417,0
3/3/2020,0,30,578,1
3/3/2020,0,40,713,1
3/3/2020,0,50,952,5
3/3/2020,0,60,597,7
3/3/2020,0,70,224,9
3/3/2020,0,80,93,5
3/4/2020,0,0,34,0
3/4/2020,0,10,233,0
3/4/2020,0,20,1575,0
3/4/2020,0,30,631,1
3/4/2020,0,40,790,1
3/4/2020,0,50,1051,5
3/4/2020,0,60,646,7
3/4/2020,0,70,260,12
3/4/2020,0,80,108,6
3/5/2020,0,0,38,0
3/5/2020,0,10,257,0
3/5/2020,0,20,1727,0
3/5/2020,0,30,659,1
3/5/2020,0,40,847,1
3/5/2020,0,50,1127,5
3/5/2020,0,60,699,8
3/5/2020,0,70,288,13
3/5/2020,0,80,124,7
3/6/2020,0,0,45,0
3/6/2020,0,10,292,0
3/6/2020,0,20,1877,0
3/6/2020,0,30,693,1
3/6/2020,0,40,889,1
3/6/2020,0,50,1217,5
3/6/2020,0,60,763,11
3/6/2020,0,70,340,14
3/6/2020,0,80,168,10
3/7/2020,0,0,52,0
3/7/2020,0,10,327,0
3/7/2020,0,20,2038,0
3/7/2020,0,30,727,1
3/7/2020,0,40,941,1
3/7/2020,0,50,1287,5
3/7/2020,0,60,830,11
3/7/2020,0,70,384,14
3/7/2020,0,80,191,12
3/8/2020,0,0,58,0
3/8/2020,0,10,360,0
3/8/2020,0,20,2133,0
3/8/2020,0,30,760,1
3/8/2020,0,40,975,1
3/8/2020,0,50,1349,5
3/8/2020,0,60,878,11
3/8/2020,0,70,409,18
3/8/2020,0,80,212,14
3/9/2020,0,0,66,0
3/9/2020,0,10,381,0
3/9/2020,0,20,2190,0
3/9/2020,0,30,779,1
3/9/2020,0,40,1005,1
3/9/2020,0,50,1391,5
3/9/2020,0,60,916,12
3/9/2020,0,70,438,18
3/9/2020,0,80,216,14
3/10/2020,0,0,67,0
3/10/2020,0,10,393,0
3/10/2020,0,20,2213,0
3/10/2020,0,30,789,1
3/10/2020,0,40,1030,1
3/10/2020,0,50,1416,5
3/10/2020,0,60,929,13
3/10/2020,0,70,454,19
3/10/2020,0,80,222,15
3/11/2020,0,0,75,0
3/11/2020,0,10,405,0
3/11/2020,0,20,2238,0
3/11/2020,0,30,804,1
3/11/2020,0,40,1082,1
3/11/2020,0,50,1472,6
3/11/2020,0,60,960,14
3/11/2020,0,70,483,21
3/11/2020,0,80,236,17
3/12/2020,0,0,76,0
3/12/2020,0,10,412,0
3/12/2020,0,20,2261,0
3/12/2020,0,30,812,1
3/12/2020,0,40,1101,1
3/12/2020,0,50,1495,6
3/12/2020,0,60,972,14
3/12/2020,0,70,497,24
3/12/2020,0,80,243,20
3/13/2020,0,0,77,0
3/13/2020,0,10,421,0
3/13/2020,0,20,2274,0
3/13/2020,0,30,823,1
3/13/2020,0,40,1117,1
3/13/2020,0,50,1523,6
3/13/2020,0,60,985,14
3/13/2020,0,70,506,24
3/13/2020,0,80,253,21
3/14/2020,0,0,81,0
3/14/2020,0,10,424,0
3/14/2020,0,20,2287,0
3/14/2020,0,30,833,1
3/14/2020,0,40,1133,1
3/14/2020,0,50,1551,6
3/14/2020,0,60,999,14
3/14/2020,0,70,515,27
3/14/2020,0,80,263,23
3/15/2020,0,0,83,0
3/15/2020,0,10,427,0
3/15/2020,0,20,2301,0
3/15/2020,0,30,842,1
3/15/2020,0,40,1141,1
3/15/2020,0,50,1568,6
3/15/2020,0,60,1012,14
3/15/2020,0,70,525,28
3/15/2020,0,80,263,25
3/16/2020,0,0,85,0
3/16/2020,0,10,432,0
3/16/2020,0,20,2313,0
3/16/2020,0,30,849,1
3/16/2020,0,40,1147,1
3/16/2020,0,50,1585,6
3/16/2020,0,60,1024,14
3/16/2020,0,70,531,28
3/16/2020,0,80,270,25
3/17/2020,0,0,86,0
3/17/2020,0,10,436,0
3/17/2020,0,20,2330,0
3/17/2020,0,30,856,1
3/17/2020,0,40,1164,1
3/17/2020,0,50,1602,6
3/17/2020,0,60,1033,16
3/17/2020,0,70,539,29
3/17/2020,0,80,274,28
3/18/2020,0,0,87,0
3/18/2020,0,10,438,0
3/18/2020,0,20,2342,0
3/18/2020,0,30,873,1
3/18/2020,0,40,1171,1
3/18/2020,0,50,1615,6
3/18/2020,0,60,1059,16
3/18/2020,0,70,542,29
3/18/2020,0,80,286,31
3/19/2020,0,0,91,0
3/19/2020,0,10,444,0
3/19/2020,0,20,2358,0
3/19/2020,0,30,886,1
3/19/2020,0,40,1181,1
3/19/2020,0,50,1642,7
3/19/2020,0,60,1080,17
3/19/2020,0,70,562,34
3/19/2020,0,80,321,31
3/20/2020,0,0,97,0
3/20/2020,0,10,452,0
3/20/2020,0,20,2365,0
3/20/2020,0,30,893,1
3/20/2020,0,40,1193,1
3/20/2020,0,50,1656,7
3/20/2020,0,60,1099,17
3/20/2020,0,70,568,35
3/20/2020,0,80,329,33
3/21/2020,0,0,99,0
3/21/2020,0,10,457,0
3/21/2020,0,20,2380,0
3/21/2020,0,30,900,1
3/21/2020,0,40,1203,1
3/21/2020,0,50,1672,7
3/21/2020,0,60,1118,17
3/21/2020,0,70,589,37
3/21/2020,0,80,381,39
3/22/2020,0,0,101,0
3/22/2020,0,10,460,0
3/22/2020,0,20,2396,0
3/22/2020,0,30,909,1
3/22/2020,0,40,1221,1
3/22/2020,0,50,1691,7
3/22/2020,0,60,1132,17
3/22/2020,0,70,595,37
3/22/2020,0,80,392,41
3/23/2020,0,0,103,0
3/23/2020,0,10,460,0
3/23/2020,0,20,2417,0
3/23/2020,0,30,917,1
3/23/2020,0,40,1228,1
3/23/2020,0,50,1702,7
3/23/2020,0,60,1139,18
3/23/2020,0,70,599,38
3/23/2020,0,80,396,46
3/24/2020,0,0,105,0
3/24/2020,0,10,468,0
3/24/2020,0,20,2438,0
3/24/2020,0,30,921,1
3/24/2020,0,40,1234,1
3/24/2020,0,50,1716,8
3/24/2020,0,60,1146,20
3/24/2020,0,70,608,38
3/24/2020,0,80,401,52
3/25/2020,0,0,105,0
3/25/2020,0,10,475,0
3/25/2020,0,20,2473,0
3/25/2020,0,30,943,1
3/25/2020,0,40,1246,1
3/25/2020,0,50,1724,10
3/25/2020,0,60,1154,20
3/25/2020,0,70,611,39
3/25/2020,0,80,406,55
3/26/2020,0,0,106,0
3/26/2020,0,10,488,0
3/26/2020,0,20,2508,0
