date,time,sex,confirmed,deceased
02-03-20,0,1,1591,13
02-03-20,0,0,2621,9
03-03-20,0,1,1810,16
03-03-20,0,0,3002,12
04-03-20,0,1,1996,20
04-03-20,0,0,3332,12
05-03-20,0,1,2149,21
05-03-20,0,0,3617,14
06-03-20,0,1,2345,25
06-03-20,0,0,3939,17
07-03-20,0,1,2522,26
07-03-20,0,0,4245,18
08-03-20,0,1,2694,29
08-03-20,0,0,4440,20
09-03-20,0,1,2799,31
09-03-20,0,0,4583,20
10-03-20,0,1,2852,33
10-03-20,0,0,4661,21
11-03-20,0,1,2947,35
11-03-20,0,0,4808,25
12-03-20,0,1,2994,38
12-03-20,0,0,4875,28
13-03-20,0,1,3043,39
13-03-20,0,0,4936,28
14-03-20,0,1,3100,41
14-03-20,0,0,4986,31
15-03-20,0,1,3136,41
15-03-20,0,0,5026,34
16-03-20,0,1,3169,41
16-03-20,0,0,5067,34
17-03-20,0,1,3200,44
17-03-20,0,0,5120,37
18-03-20,0,1,3240,45
18-03-20,0,0,5173,39
19-03-20,0,1,3296,49
19-03-20,0,0,5269,42
20-03-20,0,1,3330,51
20-03-20,0,0,5322,43
21-03-20,0,1,3387,54
21-03-20,0,0,5412,48
22-03-20,0,1,3430,55
22-03-20,0,0,5467,49
23-03-20,0,1,3457,58
23-03-20,0,0,5504,53
24-03-20,0,1,3497,60
24-03-20,0,0,5540,60
25-03-20,0,1,3550,64
25-03-20,0,0,5587,62
26-03-20,0,1,3598,68
26-03-20,0,0,5643,63
27-03-20,0,1,3638,75
27-03-20,0,0,5694,64
28-03-20,0,1,3736,77
28-03-20,0,0,5742,67
29-03-20,0,1,3799,78
29-03-20,0,0,5784,74
30-03-20,0,1,3834,80
30-03-20,0,0,5827,78
31-03-20,0,1,3905,82
31-03-20,0,0,5881,80
01-04-20,0,1,3946,84
01-04-20,0,0,5941,81
02-04-20,0,1,3979,87
02-04-20,0,0,5997,82
03-04-20,0,1,4013,92
03-04-20,0,0,6049,82
04-04-20,0,1,4052,94
04-04-20,0,0,6104,83
05-04-20,0,1,4098,97
05-04-20,0,0,6139,86
06-04-20,0,1,4118,98
06-04-20,0,0,6166,88
07-04-20,0,1,4138,101
07-04-20,0,0,6193,91
